bookmaker,market,team,side,line,odds,event_name,implied_prob,fair_prob_over,fair_prob_under,fair_prob,ev,flag,fair_prob_arsenal,fair_prob_brentford,fair_prob_aston villa,fair_prob_newcastle united,fair_prob_bournemouth,fair_prob_fulham,fair_prob_brighton and hove albion,fair_prob_crystal palace,fair_prob_chelsea,fair_prob_leicester city,fair_prob_liverpool,fair_prob_manchester city,fair_prob_manchester united,fair_prob_everton,fair_prob_nottingham forest,fair_prob_southampton,fair_prob_tottenham hotspur,fair_prob_west ham united,fair_prob_wolverhampton wanderers,sport
Fliff,spreads,Bournemouth,bournemouth,0.0,1.95,Crystal Palace vs Bournemouth,0.5128205128205129,,,0.537914691943128,0.04893364928909971,,,,,,0.537914691943128,,,0.462085308056872,,,,,,,,,,,,soccer_epl
MyBookie.ag,spreads,Chelsea,chelsea,-0.5,2.27,Fulham vs Chelsea,0.44052863436123346,,,0.462085308056872,0.04893364928909949,,,,,,,0.537914691943128,,,0.462085308056872,,,,,,,,,,,soccer_epl
MyBookie.ag,spreads,Crystal Palace,crystal palace,-0.5,2.27,Crystal Palace vs Bournemouth,0.44052863436123346,,,0.462085308056872,0.04893364928909949,,,,,,0.537914691943128,,,0.462085308056872,,,,,,,,,,,,soccer_epl
BetUS,spreads,Aston Villa,aston villa,-1.0,1.95,Southampton vs Aston Villa,0.5128205128205129,,,0.536697247706422,0.04655963302752286,,,,0.536697247706422,,,,,,,,,,,,,0.463302752293578,,,,soccer_epl
MyBookie.ag,totals,Over,over,3.5,2.16,Chelsea vs Ipswich Town,0.4629629629629629,0.48394495412844035,0.5160550458715597,0.48394495412844035,0.045321100917431245,,,,,,,,,,,,,,,,,,,,,soccer_epl
LowVig.ag,spreads,Nottingham Forest,nottingham forest,-0.5,2.1,Nottingham Forest vs Everton,0.47619047619047616,,,0.49760765550239233,0.044976076555024,,,,,,,,,,,,,,,0.5023923444976076,0.49760765550239233,,,,,soccer_epl
BetOnline.ag,spreads,Nottingham Forest,nottingham forest,-0.5,2.1,Nottingham Forest vs Everton,0.47619047619047616,,,0.49760765550239233,0.044976076555024,,,,,,,,,,,,,,,0.5023923444976076,0.49760765550239233,,,,,soccer_epl
Bovada,spreads,Everton,everton,0.25,2.08,Nottingham Forest vs Everton,0.4807692307692307,,,0.5023923444976076,0.04497607655502378,,,,,,,,,,,,,,,0.5023923444976076,0.49760765550239233,,,,,soccer_epl
BetUS,spreads,Crystal Palace,crystal palace,1.0,1.96,Manchester City vs Crystal Palace,0.5102040816326531,,,0.5327102803738317,0.04411214953271014,,,,,,,,,0.5327102803738317,,,,0.4672897196261682,,,,,,,,soccer_epl
BetAnySports,spreads,Crystal Palace,crystal palace,-1.0,1.96,Manchester City vs Crystal Palace,0.5102040816326531,,,0.5327102803738317,0.04411214953271014,,,,,,,,,0.5327102803738317,,,,0.4672897196261682,,,,,,,,soccer_epl
BetAnySports,spreads,Brentford,brentford,-1.0,1.91,Arsenal vs Brentford,0.5235602094240838,,,0.5465116279069767,0.043837209302325375,,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,spreads,Brighton and Hove Albion,brighton and hove albion,0.0,1.91,Brentford vs Brighton and Hove Albion,0.5235602094240838,,,0.5448275862068966,0.040620689655172626,,,0.4551724137931034,,,,,0.5448275862068966,,,,,,,,,,,,,soccer_epl
Fliff,spreads,Tottenham Hotspur,tottenham hotspur,0.0,2.1,Wolverhampton Wanderers vs Tottenham Hotspur,0.47619047619047616,,,0.4955156950672646,0.04058295964125569,,,,,,,,,,,,,,,,,,0.4955156950672646,,0.5044843049327354,soccer_epl
betPARX,totals,Over,over,3.5,2.15,Chelsea vs Ipswich Town,0.46511627906976744,0.48394495412844035,0.5160550458715597,0.48394495412844035,0.04048165137614679,,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,2.15,Chelsea vs Ipswich Town,0.46511627906976744,0.48394495412844035,0.5160550458715597,0.48394495412844035,0.04048165137614679,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Over,over,3.5,2.15,Chelsea vs Ipswich Town,0.46511627906976744,0.48394495412844035,0.5160550458715597,0.48394495412844035,0.04048165137614679,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetMGM,totals,Under,under,1.5,2.3,Bayern München vs Internazionale Milano,0.4347826086956522,0.5479452054794521,0.452054794520548,0.452054794520548,0.039726027397260166,,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
BetRivers,totals,Under,under,1.5,2.3,Bayern München vs Internazionale Milano,0.4347826086956522,0.5479452054794521,0.452054794520548,0.452054794520548,0.039726027397260166,,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Bovada,spreads,Aston Villa,aston villa,-1.0,1.93,Southampton vs Aston Villa,0.5181347150259068,,,0.536697247706422,0.03582568807339448,,,,0.536697247706422,,,,,,,,,,,,,0.463302752293578,,,,soccer_epl
BetMGM,totals,Over,over,3.5,2.25,Paris Saint Germain vs Aston Villa,0.4444444444444444,0.46031746031746024,0.5396825396825397,0.46031746031746024,0.03571428571428559,,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
MyBookie.ag,totals,Over,over,3.5,2.24,Liverpool vs West Ham United,0.4464285714285714,0.4622425629290618,0.5377574370709383,0.4622425629290618,0.03542334096109845,,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.2,Newcastle United vs Manchester United,0.45454545454545453,0.5308924485125858,0.4691075514874142,0.4691075514874142,0.03203661327231133,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetOnline.ag,totals,Under,under,2.25,1.84,Nottingham Forest vs Everton,0.5434782608695652,0.43914081145584727,0.5608591885441527,0.5608591885441527,0.031980906921241115,,,,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Over,over,2.5,2.35,Nottingham Forest vs Everton,0.425531914893617,0.43914081145584727,0.5608591885441527,0.43914081145584727,0.031980906921241115,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetAnySports,totals,Under,under,2.25,1.84,Nottingham Forest vs Everton,0.5434782608695652,0.43914081145584727,0.5608591885441527,0.5608591885441527,0.031980906921241115,,,,,,,,,,,,,,,,,,,,,soccer_epl
LowVig.ag,totals,Under,under,2.25,1.84,Nottingham Forest vs Everton,0.5434782608695652,0.43914081145584727,0.5608591885441527,0.5608591885441527,0.031980906921241115,,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.18,Wolverhampton Wanderers vs Tottenham Hotspur,0.4587155963302752,0.5280898876404494,0.47191011235955055,0.47191011235955055,0.028764044943820233,,,,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,totals,Under,under,2.25,1.83,Nottingham Forest vs Everton,0.5464480874316939,0.43914081145584727,0.5608591885441527,0.5608591885441527,0.02637231503579951,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetAnySports,spreads,Nottingham Forest,nottingham forest,-0.5,2.06,Nottingham Forest vs Everton,0.4854368932038835,,,0.49760765550239233,0.025071770334928134,,,,,,,,,,,,,,,0.5023923444976076,0.49760765550239233,,,,,soccer_epl
Fliff,spreads,Liverpool,liverpool,-2.0,2.05,Leicester City vs Liverpool,0.48780487804878053,,,0.5,0.02499999999999991,,,,,,,,,,,0.5,0.5,,,,,,,,,soccer_epl
MyBookie.ag,spreads,Leicester City,leicester city,1.5,2.05,Leicester City vs Liverpool,0.48780487804878053,,,0.5,0.02499999999999991,,,,,,,,,,,0.5,0.5,,,,,,,,,soccer_epl
LowVig.ag,totals,Over,over,2.75,1.95,Bournemouth vs Fulham,0.5128205128205129,0.524390243902439,0.4756097560975609,0.524390243902439,0.022560975609756007,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetOnline.ag,totals,Over,over,2.75,1.95,Bournemouth vs Fulham,0.5128205128205129,0.524390243902439,0.4756097560975609,0.524390243902439,0.022560975609756007,,,,,,,,,,,,,,,,,,,,,soccer_epl
BetUS,totals,Under,under,2.5,2.15,Bournemouth vs Fulham,0.46511627906976744,0.524390243902439,0.4756097560975609,0.4756097560975609,0.022560975609755785,,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,spreads,Brentford,brentford,1.0,1.87,Arsenal vs Brentford,0.53475935828877,,,0.5465116279069767,0.02197674418604656,,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
LowVig.ag,spreads,Fulham,fulham,0.25,1.99,Bournemouth vs Fulham,0.5025125628140703,,,0.5134474327628362,0.021760391198044182,,,,,,0.48655256723716384,0.5134474327628362,,,,,,,,,,,,,,soccer_epl
BetUS,spreads,Bournemouth,bournemouth,-0.5,2.1,Bournemouth vs Fulham,0.47619047619047616,,,0.48655256723716384,0.021760391198044182,,,,,,0.48655256723716384,0.5134474327628362,,,,,,,,,,,,,,soccer_epl
BetOnline.ag,spreads,Fulham,fulham,0.25,1.99,Bournemouth vs Fulham,0.5025125628140703,,,0.5134474327628362,0.021760391198044182,,,,,,0.48655256723716384,0.5134474327628362,,,,,,,,,,,,,,soccer_epl
BetOnline.ag,totals,Over,over,3.0,1.98,Manchester City vs Crystal Palace,0.5050505050505051,0.5157894736842106,0.4842105263157894,0.5157894736842106,0.021263157894736873,,,,,,,,,,,,,,,,,,,,,soccer_epl
LowVig.ag,totals,Over,over,3.0,1.98,Manchester City vs Crystal Palace,0.5050505050505051,0.5157894736842106,0.4842105263157894,0.5157894736842106,0.021263157894736873,,,,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,totals,Over,over,2.0,2.0,Arsenal vs Real Madrid,0.5,0.5104166666666667,0.4895833333333333,0.5104166666666667,0.02083333333333348,,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
