bookmaker,market,player,line,odds,side,est_win_prob,ev
Hard Rock Bet,player_blocks,Over,0.5,3.4,over,0.5,-0.483
BetOnline.ag,player_threes,Over,0.5,3.39,over,0.5,-0.48305
Novig,player_rebounds,Over,5.5,3.34,over,0.5,-0.4833
Hard Rock Bet,player_blocks,Over,0.5,3.3,over,0.5,-0.4835
BetMGM,player_threes,Over,0.5,3.3,over,0.5,-0.4835
BetMGM,player_blocks,Over,0.5,3.3,over,0.5,-0.4835
DraftKings,player_blocks,Over,0.5,3.3,over,0.5,-0.4835
Caesars,player_threes,Over,0.5,3.27,over,0.5,-0.48365
Hard Rock Bet,player_blocks,Over,0.5,3.25,over,0.5,-0.48375
Hard Rock Bet,player_blocks,Over,0.5,3.25,over,0.5,-0.48375
Fliff,player_threes,Over,0.5,3.25,over,0.5,-0.48375
BetMGM,player_blocks,Over,0.5,3.25,over,0.5,-0.48375
Hard Rock Bet,player_blocks,Over,0.5,3.2,over,0.5,-0.484
BetMGM,player_blocks,Over,0.5,3.2,over,0.5,-0.484
Hard Rock Bet,player_steals,Over,0.5,3.2,over,0.5,-0.484
ESPN BET,player_threes,Over,0.5,3.2,over,0.5,-0.484
Novig,player_rebounds,Over,5.5,3.13,over,0.5,-0.48435
Novig,player_assists,Under,3.5,3.1,under,0.5,-0.4845
Fliff,player_blocks,Over,0.5,3.1,over,0.5,-0.4845
Hard Rock Bet,player_blocks,Over,0.5,3.1,over,0.5,-0.4845
Fliff,player_threes,Over,0.5,3.05,over,0.5,-0.48475
Fliff,player_blocks,Over,0.5,3.05,over,0.5,-0.48475
Hard Rock Bet,player_blocks,Over,0.5,3.0,over,0.5,-0.485
Hard Rock Bet,player_steals,Over,0.5,3.0,over,0.5,-0.485
BetMGM,player_blocks,Over,0.5,3.0,over,0.5,-0.485
BetMGM,player_threes,Over,0.5,3.0,over,0.5,-0.485
BetMGM,player_threes,Over,0.5,3.0,over,0.5,-0.485
Hard Rock Bet,player_blocks,Over,0.5,3.0,over,0.5,-0.485
Hard Rock Bet,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
Hard Rock Bet,player_threes,Over,0.5,2.95,over,0.5,-0.48525
Hard Rock Bet,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
Hard Rock Bet,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
DraftKings,player_threes,Over,0.5,2.95,over,0.5,-0.48525
Hard Rock Bet,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
Hard Rock Bet,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
BetMGM,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
BetMGM,player_blocks,Over,0.5,2.95,over,0.5,-0.48525
FanDuel,player_steals,Over,1.5,2.94,over,0.5,-0.4853
Novig,player_assists,Over,7.5,2.92,over,0.5,-0.4854
Hard Rock Bet,player_blocks,Over,0.5,2.9,over,0.5,-0.4855
Bovada,player_threes,Over,1.5,2.9,over,0.5,-0.4855
Novig,player_assists,Over,8.5,2.87,over,0.5,-0.48565
BetOnline.ag,player_threes,Over,1.5,2.86,over,0.5,-0.4857
Bally Bet,player_steals,Under,0.5,2.85,under,0.5,-0.48575
DraftKings,player_threes,Under,0.5,2.85,under,0.5,-0.48575
Novig,player_assists,Over,12.5,2.85,over,0.5,-0.48575
Hard Rock Bet,player_steals,Over,0.5,2.85,over,0.5,-0.48575
ESPN BET,player_threes,Over,0.5,2.85,over,0.5,-0.48575
Fliff,player_threes,Over,0.5,2.85,over,0.5,-0.48575
Hard Rock Bet,player_blocks,Over,0.5,2.85,over,0.5,-0.48575
Hard Rock Bet,player_blocks,Over,0.5,2.85,over,0.5,-0.48575
Bovada,player_threes,Under,0.5,2.85,under,0.5,-0.48575
DraftKings,player_blocks,Over,1.5,2.85,over,0.5,-0.48575
Novig,player_rebounds,Over,3.5,2.83,over,0.5,-0.48585
Novig,player_steals,Over,1.5,2.81,over,0.5,-0.48595
Novig,player_assists,Under,2.5,2.81,under,0.5,-0.48595
Novig,player_threes,Over,3.5,2.8,over,0.5,-0.486
ESPN BET,player_threes,Over,1.5,2.8,over,0.5,-0.486
Hard Rock Bet,player_blocks,Over,0.5,2.8,over,0.5,-0.486
FanDuel,player_threes,Over,1.5,2.8,over,0.5,-0.486
Novig,player_steals,Under,0.5,2.8,under,0.5,-0.486
DraftKings,player_blocks,Over,1.5,2.8,over,0.5,-0.486
Bally Bet,player_steals,Over,1.5,2.8,over,0.5,-0.486
DraftKings,player_steals,Under,0.5,2.8,under,0.5,-0.486
Bally Bet,player_steals,Over,1.5,2.8,over,0.5,-0.486
Hard Rock Bet,player_blocks,Over,0.5,2.8,over,0.5,-0.486
DraftKings,player_blocks,Over,1.5,2.8,over,0.5,-0.486
ESPN BET,player_threes,Over,0.5,2.8,over,0.5,-0.486
Bally Bet,player_steals,Under,0.5,2.8,under,0.5,-0.486
Bally Bet,player_steals,Under,0.5,2.8,under,0.5,-0.486
BetOnline.ag,player_threes,Under,0.5,2.79,under,0.5,-0.48605
FanDuel,player_threes,Over,1.5,2.78,over,0.5,-0.4861
Caesars,player_threes,Over,1.5,2.78,over,0.5,-0.4861
FanDuel,player_blocks,Over,1.5,2.78,over,0.5,-0.4861
FanDuel,player_steals,Over,1.5,2.78,over,0.5,-0.4861
FanDuel,player_threes,Under,0.5,2.78,under,0.5,-0.4861
Novig,player_threes,Over,1.5,2.78,over,0.5,-0.4861
FanDuel,player_steals,Over,1.5,2.78,over,0.5,-0.4861
DraftKings,player_threes,Under,0.5,2.76,under,0.5,-0.4862
Novig,player_assists,Over,3.5,2.75,over,0.5,-0.48625
BetMGM,player_blocks,Over,1.5,2.75,over,0.5,-0.48625
Bally Bet,player_blocks,Under,0.5,2.75,under,0.5,-0.48625
BetMGM,player_assists,Under,0.5,2.75,under,0.5,-0.48625
Bally Bet,player_steals,Over,1.5,2.75,over,0.5,-0.48625
BetMGM,player_assists,Under,0.5,2.75,under,0.5,-0.48625
Bally Bet,player_steals,Under,0.5,2.75,under,0.5,-0.48625
DraftKings,player_threes,Over,1.5,2.75,over,0.5,-0.48625
Novig,player_assists,Over,2.5,2.75,over,0.5,-0.48625
Bovada,player_threes,Over,1.5,2.75,over,0.5,-0.48625
BetMGM,player_threes,Under,0.5,2.75,under,0.5,-0.48625
Novig,player_rebounds,Under,3.5,2.75,under,0.5,-0.48625
BetMGM,player_blocks,Under,0.5,2.75,under,0.5,-0.48625
ESPN BET,player_threes,Over,1.5,2.75,over,0.5,-0.48625
DraftKings,player_threes,Over,1.5,2.75,over,0.5,-0.48625
Bally Bet,player_blocks,Over,0.5,2.75,over,0.5,-0.48625
DraftKings,player_steals,Under,0.5,2.75,under,0.5,-0.48625
Hard Rock Bet,player_threes,Over,1.5,2.75,over,0.5,-0.48625
Hard Rock Bet,player_steals,Over,1.5,2.75,over,0.5,-0.48625
Bally Bet,player_steals,Over,1.5,2.75,over,0.5,-0.48625
FanDuel,player_threes,Under,0.5,2.74,under,0.5,-0.4863
Caesars,player_threes,Over,1.5,2.72,over,0.5,-0.4864
Novig,player_steals,Over,1.5,2.72,over,0.5,-0.4864
Bally Bet,player_steals,Under,0.5,2.7,under,0.5,-0.4865
ESPN BET,player_threes,Under,0.5,2.7,under,0.5,-0.4865
BetMGM,player_blocks,Over,1.5,2.7,over,0.5,-0.4865
Hard Rock Bet,player_blocks,Over,1.5,2.7,over,0.5,-0.4865
Hard Rock Bet,player_blocks,Over,0.5,2.7,over,0.5,-0.4865
Novig,player_points,Under,12.5,2.7,under,0.5,-0.4865
BetMGM,player_threes,Over,0.5,2.7,over,0.5,-0.4865
Bally Bet,player_steals,Under,0.5,2.7,under,0.5,-0.4865
